"AMI","20170620","0.185","0.185","0.185","0.185","0"
"AML","20170620","0.13","0.15","0.13","0.15","99571"
"AMN","20170620","0.50","0.50","0.50","0.50","0"
"AMO","20170620","0.20","0.20","0.20","0.20","0"
"AMP","20170620","5.13","5.17","5.105","5.12","7543929"
"AMPBOE","20170620","5.58","5.58","5.58","5.58","0"
"AMPBOG","20170620","5.14","5.14","5.14","5.14","0"
"AMPBOI","20170620","5.11","5.11","5.11","5.11","0"
"AMPHA","20170620","102.02","103.00","102.02","102.824","1753"
"AMPIOV","20170620","2.04","2.04","2.04","2.04","0"
"AMPIOZ","20170620","0.87","0.87","0.87","0.87","0"
"AMPISI","20170620","3.15","3.15","3.15","3.15","0"
"AMPISK","20170620","1.825","1.825","1.825","1.825","0"
"AMPJOE","20170620","1.045","1.045","1.045","1.045","0"
"AMPJOJ","20170620","1.41","1.41","1.41","1.41","0"
"AMPJON","20170620","2.11","2.11","2.11","2.11","0"
"AMPKOA","20170620","0.51","0.51","0.51","0.51","0"
"AMPKOB","20170620","0.78","0.78","0.78","0.78","0"
"AMPKOD","20170620","0.955","0.955","0.955","0.955","0"
"AMPKOE","20170620","0.74","0.74","0.74","0.74","0"
"AMPKOP","20170620","0.67","0.67","0.67","0.67","0"
"AMPKOS","20170620","1.16","1.16","1.16","1.16","0"
"AMPKOV","20170620","1.36","1.36","1.36","1.36","0"
"AMPLOA","20170620","1.565","1.565","1.565","1.565","0"
"AMPLOB","20170620","0.48","0.48","0.48","0.48","0"
"AMPLOC","20170620","1.005","1.005","1.005","1.005","0"
"AMPLOD","20170620","0.74","0.74","0.74","0.74","0"
"AMPLOP","20170620","0.47","0.47","0.47","0.47","0"
"AMPLOR","20170620","0.68","0.68","0.68","0.68","0"
"AMPLOU","20170620","0.485","0.485","0.485","0.485","0"
"AMPLOV","20170620","0.735","0.735","0.735","0.735","0"
"AMPPA","20170620","105.45","105.45","105.20","105.40","2922"
"AMPSMB","20170620","0.64","0.64","0.64","0.64","0"
"AMPSMY","20170620","0.01","0.01","0.01","0.01","0"
"AMPSOG","20170620","2.82","2.82","2.82","2.82","0"
"AMPSOM","20170620","2.79","2.79","2.79","2.79","0"
"AMPSS2","20170620","0.22","0.22","0.22","0.22","0"
"AMPSSA","20170620","2.32","2.32","2.32","2.32","2288"
"AMPSWR","20170620","2.58","2.58","2.58","2.58","0"
"AMT","20170620","0.14","0.14","0.14","0.14","0"
"ANG","20170620","0.205","0.205","0.20","0.205","503883"
"ANL","20170620","0.037","0.038","0.035","0.038","665803"
"ANLO","20170620","0.001","0.001","0.001","0.001","1200000"
"ANN","20170620","24.00","24.235","23.87","23.89","467253"
"ANNKOA","20170620","7.93","7.93","7.93","7.93","0"
"ANNKOC","20170620","5.16","5.16","5.16","5.16","1000"
"ANNKOQ","20170620","4.60","4.60","4.60","4.60","0"
"ANNKOR","20170620","3.45","3.45","3.45","3.45","0"
"ANNSWR","20170620","12.58","12.58","12.58","12.58","0"
"ANNSWT","20170620","16.27","16.27","16.27","16.27","0"
"ANO","20170620","0.026","0.026","0.026","0.026","127478"
"ANP","20170620","0.034","0.034","0.034","0.034","6037"
"ANPOB","20170620","0.01","0.01","0.01","0.01","0"
"ANQ","20170620","0.002","0.002","0.002","0.002","27354455"
"ANR","20170620","1.01","1.01","1.01","1.01","7000"
"ANS","20170620","0.007","0.007","0.007","0.007","0"
